自创说明,#genre#

LSF极速自创版,http://58.20.202.43:808/hls/100/index.m3u8

更新于20240922,http://58.20.202.43:808/hls/101/index.m3u8

且用且珍惜,http://58.20.202.43:808/hls/102/index.m3u8

//最速央卫,#genre#

CCTV1,http://39.105.167.176/live/CCTV1HD.m3u8

CCTV2,http://39.105.167.176/live/CCTV2HD.m3u8

CCTV3,http://39.105.167.176/live/CCTV3HD.m3u8

CCTV4,http://39.105.167.176/live/CCTV4HD.m3u8

CCTV5,http://39.105.167.176/live/CCTV5HD.m3u8

CCTV5+,http://39.105.167.176/live/CCTV5plusHD.m3u8

CCTV6,http://39.105.167.176/live/CCTV6HD.m3u8

CCTV7,http://39.105.167.176/live/CCTV7HD.m3u8

CCTV8,http://39.105.167.176/live/CCTV8HD.m3u8

CCTV9,http://39.105.167.176/live/CCTV9HD.m3u8

CCTV10,http://39.105.167.176/live/CCTV10HD.m3u8

CCTV11,http://39.105.167.176/live/CCTV11HD.m3u8

CCTV12,http://39.105.167.176/live/CCTV12HD.m3u8

CCTV13,http://39.105.167.176/live/CCTV13HD.m3u8

CCTV14,http://39.105.167.176/live/CCTV14HD.m3u8

CCTV15,http://39.105.167.176/live/CCTV15HD.m3u8

CCTV16,http://39.105.167.176/live/CCTV16UHD.m3u8

CCTV17,http://39.105.167.176/live/CCTV17HD.m3u8

北京卫视,http://39.105.167.176/live/BTV1HD_1200.m3u8

天津卫视,http://39.105.167.176/live/TianJinHD_1200.m3u8

河北卫视,http://39.105.167.176/live/HeBeiSD_1200.m3u8

山西卫视,http://39.105.167.176/live/ShanXiSD_800.m3u8

内蒙古卫视,http://39.105.167.176/live/NeiMengGuSD_800.m3u8

辽宁卫视,http://39.105.167.176/live/LiaoNingHD_1200.m3u8

吉林卫视,http://39.105.167.176/live/JiLin_800.m3u8

黑龙江卫视,http://39.105.167.176/live/HeiLongJiangHD_1200.m3u8

东方卫视,http://39.105.167.176/live/DongFangHD_1200.m3u8

江苏卫视,http://39.105.167.176/live/JiangSuHD_1200.m3u8

浙江卫视,http://39.105.167.176/live/ZheJiangHD_1200.m3u8

安徽卫视,http://39.105.167.176/live/AnHuiSD_1200.m3u8

东南卫视,http://39.105.167.176/live/FuJian_800.m3u8

江西卫视,http://39.105.167.176/live/JiangXi_800.m3u8

山东卫视,http://39.105.167.176/live/ShanDongHD_1200.m3u8

河南卫视,http://39.105.167.176/live/HeNanSD_1200.m3u8

湖北卫视,http://39.105.167.176/live/HuBeiHD_1200.m3u8

湖南卫视,http://39.105.167.176/live/HuNanHD_1200.m3u8

广东卫视,http://39.105.167.176/live/GuangDongHD_1200.m3u8

广西卫视,http://39.105.167.176/live/GuangXiSD_1200.m3u8

海南卫视,http://39.105.167.176/live/HaiNanSD_1200.m3u8

重庆卫视,http://39.105.167.176/live/ChongQingSD_1200.m3u8

四川卫视,http://39.105.167.176/live/SiChuanSD_1200.m3u8

贵州卫视,http://39.105.167.176/live/GuiZhouSD_800.m3u8

